H.PERIOD,DD.PERIOD.t,UD.PERIOD.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.5,UD.e.5,H.5,DD.5.SHIFT,UD.5.SHIFT,H.SHIFT,DD.SHIFT.R,UD.SHIFT.R,H.R,DD.R.o,UD.R.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return
124.0,234.0,110.0,93.0,187.0,94.0,109.0,187.0,78.0,125.0,234.0,109.0,94.0,250.0,156.0,296.0,140.0,-156.0,125.0,203.0,78.0,93.0,187.0,94.0,172.0,187.0,15.0,94.0,265.0,171.0,125.0,297.0,172.0
110.0,219.0,109.0,109.0,187.0,78.0,109.0,203.0,94.0,109.0,281.0,172.0,109.0,249.0,140.0,281.0,141.0,-140.0,140.0,234.0,94.0,93.0,140.0,47.0,187.0,187.0,0.0,78.0,250.0,172.0,94.0,296.0,202.0
124.0,202.0,78.0,94.0,219.0,125.0,109.0,187.0,78.0,125.0,250.0,125.0,78.0,234.0,156.0,327.0,171.0,-156.0,125.0,187.0,62.0,110.0,203.0,93.0,156.0,156.0,0.0,109.0,250.0,141.0,93.0,327.0,234.0
109.0,218.0,109.0,109.0,234.0,125.0,94.0,156.0,62.0,125.0,250.0,125.0,78.0,202.0,124.0,297.0,141.0,-156.0,125.0,218.0,93.0,109.0,187.0,78.0,172.0,234.0,62.0,94.0,312.0,218.0,94.0,297.0,203.0
93.0,187.0,94.0,78.0,187.0,109.0,94.0,156.0,62.0,109.0,250.0,141.0,93.0,234.0,141.0,249.0,109.0,-140.0,140.0,203.0,63.0,109.0,171.0,62.0,172.0,156.0,-16.0,94.0,234.0,140.0,110.0,843.0,733.0
125.0,219.0,94.0,109.0,202.0,93.0,94.0,156.0,62.0,125.0,219.0,94.0,109.0,218.0,109.0,328.0,187.0,-141.0,125.0,156.0,31.0,94.0,188.0,94.0,156.0,140.0,-16.0,78.0,250.0,172.0,109.0,296.0,187.0
94.0,219.0,125.0,78.0,218.0,140.0,94.0,172.0,78.0,140.0,249.0,109.0,94.0,219.0,125.0,312.0,156.0,-156.0,125.0,187.0,62.0,109.0,187.0,78.0,156.0,156.0,0.0,94.0,250.0,156.0,109.0,359.0,250.0
110.0,219.0,109.0,109.0,218.0,109.0,94.0,250.0,156.0,109.0,234.0,125.0,78.0,218.0,140.0,250.0,156.0,-94.0,109.0,156.0,47.0,109.0,187.0,78.0,141.0,125.0,-16.0,78.0,219.0,141.0,124.0,374.0,250.0
110.0,172.0,62.0,109.0,203.0,94.0,109.0,171.0,62.0,110.0,219.0,109.0,93.0,203.0,110.0,327.0,171.0,-156.0,141.0,203.0,62.0,94.0,156.0,62.0,172.0,140.0,-32.0,94.0,219.0,125.0,109.0,359.0,250.0
110.0,203.0,93.0,109.0,234.0,125.0,94.0,687.0,593.0,124.0,405.0,281.0,109.0,297.0,188.0,343.0,187.0,-156.0,109.0,203.0,94.0,93.0,234.0,141.0,124.0,202.0,78.0,219.0,156.0,-63.0,141.0,453.0,312.0
109.0,249.0,140.0,63.0,219.0,156.0,93.0,234.0,141.0,109.0,296.0,187.0,125.0,312.0,187.0,328.0,187.0,-141.0,110.0,281.0,171.0,94.0,187.0,93.0,125.0,266.0,141.0,187.0,218.0,31.0,140.0,437.0,297.0
109.0,250.0,141.0,109.0,234.0,125.0,93.0,171.0,78.0,141.0,266.0,125.0,93.0,296.0,203.0,312.0,156.0,-156.0,125.0,281.0,156.0,93.0,203.0,110.0,124.0,187.0,63.0,156.0,218.0,62.0,156.0,406.0,250.0
109.0,250.0,141.0,93.0,202.0,109.0,110.0,234.0,124.0,141.0,312.0,171.0,94.0,359.0,265.0,328.0,172.0,-156.0,109.0,327.0,218.0,94.0,203.0,109.0,172.0,250.0,78.0,218.0,203.0,-15.0,156.0,561.0,405.0
