H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.5,UD.e.5,H.5,DD.5.R,UD.5.R,H.R,DD.R.o,UD.R.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return
93.0,374.0,281.0,125.0,219.0,94.0,124.0,561.0,437.0,172.0,1342.0,1170.0,93.0,561.0,468.0,156.0,375.0,219.0,125.0,265.0,140.0,140.0,156.0,16.0,109.0,421.0,312.0,109.0,9781.0,9672.0
109.0,343.0,234.0,109.0,249.0,140.0,110.0,1623.0,1513.0,125.0,686.0,561.0,141.0,1045.0,904.0,141.0,437.0,296.0,109.0,265.0,156.0,141.0,141.0,0.0,94.0,452.0,358.0,110.0,3105.0,2995.0
