H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.5,UD.e.5,H.5,DD.5.R,UD.5.R,H.R,DD.R.o,UD.R.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return
93.0,312.0,219.0,78.0,156.0,78.0,93.0,249.0,156.0,250.0,1545.0,1295.0,109.0,577.0,468.0,125.0,1248.0,1123.0,109.0,452.0,343.0,109.0,437.0,328.0,94.0,468.0,374.0,109.0,608.0,499.0
93.0,390.0,297.0,93.0,249.0,156.0,94.0,359.0,265.0,140.0,827.0,687.0,93.0,483.0,390.0,125.0,266.0,141.0,78.0,280.0,202.0,110.0,359.0,249.0,78.0,390.0,312.0,94.0,453.0,359.0
93.0,296.0,203.0,94.0,187.0,93.0,94.0,359.0,265.0,109.0,3120.0,3011.0,94.0,499.0,405.0,125.0,375.0,250.0,93.0,733.0,640.0,109.0,140.0,31.0,110.0,406.0,296.0,94.0,702.0,608.0
